Frame_No,Template_No,x,y,mx,my
40,2,215,226,217.4348,222.96991
40,3,368,194,371.1919,189.78789
40,4,675,218,678.10925,211.38588
40,5,1062,48,1060.2295,41.045578
40,6,818,434,822.37573,424.8154
41,1,100,237,102.03482,235.08202
41,2,215,226,217.36624,223.08696
41,3,368,194,371.16235,189.96596
41,4,675,218,678.38007,211.51164
41,5,1062,48,1060.2544,41.110764
41,6,818,434,822.2484,425.31863
42,1,100,237,102.068115,235.12001
42,2,215,226,217.44388,223.09842
42,3,368,194,371.13647,190.00633
42,4,675,218,678.0936,211.46323
42,5,1062,48,1060.2917,41.110184
42,6,818,434,822.68823,425.39252
43,1,100,237,102.15569,234.90378
43,2,215,226,217.36766,222.95003
43,3,368,194,371.08258,189.73483
43,4,675,218,678.1476,211.04256
43,5,1062,48,1059.9456,40.143932
43,6,818,434,822.6388,424.7774
44,1,100,237,102.885895,234.73586
44,2,215,226,218.01865,222.69077
44,3,368,194,371.3017,189.26555
44,4,675,218,678.2119,210.33325
44,5,1062,48,1060.3224,39.403202
44,6,818,434,823.125,423.9546
45,1,100,237,103.03215,235.00232
45,2,215,226,218.18013,222.74054
45,3,368,194,371.33536,189.29294
45,4,675,218,678.0905,210.18304
45,5,1062,48,1060.359,38.657185
45,6,818,434,823.41534,423.61197
46,1,100,237,103.47065,235.13524
46,2,215,226,218.67029,223.03659
46,3,368,194,371.48993,189.3498
46,4,675,218,678.499,209.72571
46,5,1062,48,1060.8705,37.86947
46,6,818,434,823.6748,422.9746
47,1,100,237,103.2521,235.30634
47,2,215,226,218.519,223.13078
47,3,368,194,371.30026,189.42917
47,4,675,218,678.2583,209.79407
47,5,1062,48,1060.909,37.55854
47,6,818,434,823.0003,423.05307
48,1,100,237,103.29504,235.16765
48,2,215,226,218.46051,222.84583
48,3,368,194,371.44684,189.11794
48,4,675,218,678.5653,209.95749
48,5,1062,48,1061.0553,36.944576
48,6,818,434,823.1171,423.0042
49,1,100,237,103.04145,235.20822
49,2,215,226,218.22786,222.94453
49,3,368,194,371.2772,189.35832
49,4,675,218,678.2422,209.68944
49,5,1062,48,1060.5497,37.17239
49,6,818,434,822.88617,422.85593
50,1,100,237,103.33159,235.50656
50,2,215,226,218.38812,223.06119
50,3,368,194,371.27747,189.43277
50,4,675,218,678.18634,209.70972
50,5,1062,48,1060.0623,37.24638
50,6,818,434,823.35077,422.65634
51,1,100,237,103.58485,235.35106
51,2,215,226,218.69952,222.78537
51,3,368,194,371.54263,188.98055
51,4,675,218,678.2026,208.81836
51,5,1062,48,1060.0151,35.925327
51,6,818,434,823.5883,421.724
52,1,100,237,104.311325,235.50447
52,2,215,226,219.11075,222.93028
52,3,368,194,371.94012,188.97456
52,4,675,218,678.1704,208.4545
52,5,1062,48,1060.405,35.348583
52,6,818,434,823.7389,421.55853
53,1,100,237,104.30425,235.51585
53,2,215,226,219.08978,222.93372
53,3,368,194,371.9667,189.024
53,4,675,218,678.6497,208.80174
53,5,1062,48,1060.5438,35.25359
53,6,818,434,823.64746,421.2902
54,1,100,237,104.303276,235.55931
54,2,215,226,219.06969,222.93622
54,3,368,194,371.9891,189.0664
54,4,675,218,678.38257,208.12888
54,5,1062,48,1060.6085,34.942947
54,6,818,434,823.60583,420.9811
55,1,100,237,104.19436,236.00528
55,2,215,226,219.17484,223.35709
55,3,368,194,372.12042,189.14163
55,4,675,218,678.9724,208.66483
55,5,1062,48,1060.661,35.0943
55,6,818,434,823.67175,421.2671
56,1,100,237,103.94147,236.0565
56,2,215,226,218.96779,223.37367
56,3,368,194,372.15204,189.1731
56,4,675,218,678.9918,208.6282
56,5,1062,48,1060.4149,35.16716
56,6,818,434,823.7996,421.21994
57,1,100,237,103.93326,235.82976
57,2,215,226,219.06296,223.05089
57,3,368,194,372.29108,188.8827
57,4,675,218,678.8045,208.4086
57,5,1062,48,1060.407,35.05718
57,6,818,434,823.86646,421.00748
58,1,100,237,104.03284,235.53424
58,2,215,226,219.21684,222.71674
58,3,368,194,372.68912,188.75574
58,4,675,218,679.52655,208.45093
58,5,1062,48,1060.6753,35.11112
58,6,818,434,824.3292,420.9544
59,1,100,237,103.73742,235.57768
59,2,215,226,218.97275,222.86197
59,3,368,194,372.30072,188.72531
59,4,675,218,679.0893,208.32341
59,5,1062,48,1060.1144,35.34769
59,6,818,434,824.0628,421.12872
60,1,100,237,103.83352,235.54253
60,2,215,226,219.07957,222.86008
60,3,368,194,372.62103,188.78125
60,4,675,218,679.8334,208.56383
60,5,1062,48,1060.3236,35.372364
60,6,818,434,824.128,421.2678
61,1,100,237,103.92725,235.2506
61,2,215,226,219.17195,222.71625
61,3,368,194,372.74915,188.68365
61,4,675,218,679.8904,208.54924
61,5,1062,48,1060.3685,35.629345
61,6,818,434,824.46643,421.1054
62,1,100,237,103.94233,235.22968
62,2,215,226,219.15295,222.71172
62,3,368,194,372.74765,188.74776
62,4,675,218,679.8462,208.68283
62,5,1062,48,1060.1904,35.9402
62,6,818,434,824.4079,421.24985
63,1,100,237,103.97462,234.79407
63,2,215,226,219.10031,222.34743
63,3,368,194,372.79904,188.55605
63,4,675,218,679.5578,208.4734
63,5,1062,48,1060.6453,36.002457
63,6,818,434,824.26514,421.34763
64,1,100,237,103.896904,234.54306
64,2,215,226,219.01021,222.16217
64,3,368,194,372.6207,188.49142
64,4,675,218,679.7695,208.917
64,5,1062,48,1060.7561,36.954838
64,6,818,434,823.62573,421.64987
65,1,100,237,103.09959,234.08849
65,2,215,226,218.62935,221.9706
65,3,368,194,372.32602,188.29724
65,4,675,218,679.5621,209.32004
65,5,1062,48,1060.903,37.957085
65,6,818,434,823.3296,422.24344
66,1,100,237,102.61482,233.3611
66,2,215,226,218.22772,221.19374
66,3,368,194,372.17044,187.88814
66,4,675,218,679.6561,209.11693
66,5,1062,48,1061.0571,38.167095
66,6,818,434,823.29645,422.038
67,1,100,237,102.261566,232.88835
67,2,215,226,217.89108,220.83792
67,3,368,194,371.89975,187.43817
67,4,675,218,679.61945,209.03662
67,5,1062,48,1060.8564,38.027016
67,6,818,434,822.9851,421.7821
68,1,100,237,101.97243,233.30533
68,2,215,226,217.78223,221.27016
68,3,368,194,372.04956,187.80548
68,4,675,218,679.68726,209.10837
68,5,1062,48,1060.6664,38.22845
68,6,818,434,823.6781,422.1801
69,1,100,237,102.442055,233.73862
69,2,215,226,217.92522,221.57146
69,3,368,194,371.92352,188.02737
69,4,675,218,679.5665,209.26137
69,5,1062,48,1060.5844,37.93965
69,6,818,434,823.90643,422.25024
70,1,100,237,103.12084,233.62827
70,2,215,226,218.46863,221.32962
70,3,368,194,372.26016,187.88313
70,4,675,218,679.9203,208.90318
70,5,1062,48,1061.0487,37.248123
70,6,818,434,824.18726,422.14703
71,1,100,237,102.75129,233.19225
71,2,215,226,218.14453,221.03096
71,3,368,194,372.12036,187.66814
71,4,675,218,679.51514,209.05914
71,5,1062,48,1061.0464,37.247787
71,6,818,434,823.15173,422.16183
72,1,100,237,102.64028,232.84283
72,2,215,226,218.25038,220.71455
72,3,368,194,372.17133,187.39174
72,4,675,218,679.78284,208.94154
72,5,1062,48,1061.6505,37.595356
72,6,818,434,823.1645,422.1919
73,1,100,237,101.76729,232.27289
73,2,215,226,217.59204,220.14786
73,3,368,194,371.7731,186.8921
73,4,675,218,679.3366,208.16142
73,5,1062,48,1061.0471,37.219456
73,6,818,434,822.93243,421.73944
74,1,100,237,101.6099,232.31047
74,2,215,226,217.56099,220.15622
74,3,368,194,371.7819,186.87148
74,4,675,218,679.4355,207.94801
74,5,1062,48,1060.9707,37.19605
74,6,818,434,823.2288,421.51245
75,1,100,237,101.85889,232.45876
75,2,215,226,217.7392,220.27197
75,3,368,194,371.88483,186.87029
75,4,675,218,679.7406,208.20541
75,5,1062,48,1060.9204,37.134533
75,6,818,434,823.96936,421.52353
76,1,100,237,102.347885,232.72333
76,2,215,226,217.917,220.39221
76,3,368,194,371.97543,186.86217
76,4,675,218,679.788,208.17853
76,5,1062,48,1060.7938,36.68663
76,6,818,434,824.17505,421.62915
77,1,100,237,102.35614,232.73402
77,2,215,226,217.93903,220.41132
77,3,368,194,371.993,186.85852
77,4,675,218,679.71765,208.06718
77,5,1062,48,1060.3854,36.337364
77,6,818,434,823.8136,421.39142
78,1,100,237,102.35848,232.7261
78,2,215,226,217.95988,220.42929
78,3,368,194,372.0124,186.85439
78,4,675,218,679.6731,207.968
78,5,1062,48,1060.3969,36.15026
78,6,818,434,823.4963,421.01624
79,1,100,237,102.38939,232.75894
79,2,215,226,217.93947,220.46712
79,3,368,194,372.02322,186.82602
79,4,675,218,679.66437,207.93596
79,5,1062,48,1060.3951,36.149963
79,6,818,434,823.5581,420.98987
80,1,100,237,102.41977,232.78436
80,2,215,226,217.95247,220.48256
80,3,368,194,372.06458,186.84778
80,4,675,218,679.86334,207.89641
80,5,1062,48,1060.7295,36.409954
80,6,818,434,823.6701,421.16965
81,1,100,237,102.18867,232.50914
81,2,215,226,217.80754,220.34161
81,3,368,194,372.0822,186.76318
81,4,675,218,679.77045,207.87088
81,5,1062,48,1060.4666,36.54963
81,6,818,434,823.4722,421.07794
82,1,100,237,101.8792,232.55237
82,2,215,226,217.66507,220.26282
82,3,368,194,372.014,186.76707
82,4,675,218,679.55585,208.06961
82,5,1062,48,1059.9774,36.918797
82,6,818,434,823.1408,421.2927
83,1,100,237,101.82017,232.60623
83,2,215,226,217.65015,220.29219
83,3,368,194,372.1014,186.73912
83,4,675,218,679.5846,208.08257
83,5,1062,48,1059.8615,37.446556
83,6,818,434,823.10657,421.20398
84,1,100,237,101.3212,231.59097
84,2,215,226,217.22238,219.37509
84,3,368,194,371.90884,186.02528
84,4,675,218,679.78156,207.75284
84,5,1062,48,1059.738,37.422516
84,6,818,434,823.0814,420.81433
85,1,100,237,101.25526,231.45737
85,2,215,226,217.48573,219.19308
85,3,368,194,371.9633,185.93468
85,4,675,218,679.9492,207.59662
85,5,1062,48,1059.762,37.518368
85,6,818,434,823.3776,420.78427
86,1,100,237,101.19212,231.61848
86,2,215,226,217.10506,219.28528
86,3,368,194,371.55615,186.07
86,4,675,218,679.177,207.29745
86,5,1062,48,1059.2573,37.568108
86,6,818,434,822.9892,420.80304
87,1,100,237,100.71167,231.79704
87,2,215,226,216.8131,219.58488
87,3,368,194,371.26392,186.1515
87,4,675,218,679.3511,207.61423
87,5,1062,48,1059.2529,37.870956
87,6,818,434,822.7951,420.7253
88,1,100,237,100.6334,232.09569
88,2,215,226,216.65636,220.02171
88,3,368,194,371.29245,186.61877
88,4,675,218,679.19226,208.13057
88,5,1062,48,1059.3087,38.485916
88,6,818,434,822.62354,421.42355
89,1,100,237,100.53882,232.00453
89,2,215,226,216.60522,219.9467
89,3,368,194,371.3564,186.60667
89,4,675,218,679.1414,208.21829
89,5,1062,48,1059.5134,38.799515
89,6,818,434,822.54736,421.85065
